Catálogo real - Mi Regalo Perfecto,,,,,,,,,,
SKU,Producto / Servicio,Categoría,Técnica principal,Base / material,Personalización disponible,Ocasiones recomendadas,Precio desde (USD),Tiempo estimado,Estado,Notas para chatbot
MRP-001,Taza blanca personalizada,Tazas / sublimables,Sublimación,Taza cerámica blanca,"Foto, nombre, frase, diseño temático","Cumpleaños, amistad, pareja, Día del Padre, detalles de oficina",$12.00,1-2 días,Disponible,Opción segura y económica para regalo personalizado.
MRP-002,Taza mágica personalizada,Tazas / sublimables,Sublimación,Taza mágica,"Foto, nombre, frase o diseño sorpresa","Pareja, cumpleaños, aniversarios, detalles especiales",$14.00,1-2 días,Disponible,Recomendar cuando el cliente quiere algo diferente o con efecto sorpresa.
MRP-003,Taza de vidrio nevado personalizada,Tazas / sublimables,Sublimación,Vidrio nevado,"Nombre, frase, foto o diseño minimalista","Día del Padre, cumpleaños, amistad, oficina",$14.00,1-2 días,Disponible,Producto visual y elegante; ideal para fotos de catálogo.
MRP-004,Jarra de cerámica personalizada,Tazas / sublimables,Sublimación,Jarra cerámica,"Nombre, frase, logo, foto o temática","Día del Padre, cumpleaños, regalo masculino",$16.00,1-2 días,Disponible,Buena opción si el cliente busca algo más grande que una taza.
MRP-005,Termo personalizado,Termos / botellas,Sublimación,Termo sublimable,"Nombre, iniciales, frase o diseño especial","Trabajo, universidad, gimnasio, Día del Padre",$18.00,1-3 días,Disponible,Recomendar para alguien que usa termo o lleva bebidas.
MRP-006,Botella de aluminio personalizada,Termos / botellas,Sublimación,Botella aluminio sublimable,"Nombre, frase, dibujo, logo o diseño temático","Gimnasio, estudio, trabajo, deporte",$15.00,1-3 días,Disponible,Ideal para regalos útiles y personalizados.
MRP-007,Tequilero personalizado,Tazas / sublimables,Sublimación,Tequilero sublimable,"Nombre, frase corta, fecha o diseño","Cumpleaños, celebraciones, regalo divertido",$5.00,1-2 días,Disponible,Recomendar como detalle pequeño o complemento.
MRP-008,Mousepad personalizado,Sublimables varios,Sublimación,Mousepad sublimable,"Foto, logo, nombre, frase o diseño gamer/oficina","Oficina, estudio, gamers, trabajo remoto",$10.00,1-2 días,Disponible,"Ideal para estudiantes, oficina o regalo útil."
MRP-009,Llaveros acrílicos personalizados,Llaveros,Sublimación / impresión,Acrílico sublimable,"Foto, nombre, iniciales, frase o diseño de pareja","Pareja, amistad, cumpleaños, recuerdos",$3.50,1-2 días,Disponible,Opción económica para complementar un regalo.
MRP-010,Llaveros de pareja personalizados,Llaveros,Sublimación / impresión,Acrílico o base sublimable,"Fotos, nombres, fecha o frases de pareja","Aniversario, San Valentín, cumpleaños de pareja",$7.00,1-2 días,Disponible,Recomendar cuando el regalo es para novio/a o pareja.
MRP-011,Polaroids / fotos tipo polaroid,Fotografía personalizada,Impresión fotográfica,Papel fotográfico,"Fotos del cliente, textos cortos o fechas","Recuerdos, aniversarios, cumpleaños, detalles emotivos",$0.75,Mismo día / 1 día,Disponible,"Muy útil como complemento para cajas, cuadros o regalos emotivos."
MRP-012,Cuadro personalizado con foto,Cuadros personalizados,Impresión / diseño,Papel fotográfico + marco/base,"Foto, frase, nombre, fecha o dedicatoria","Familia, pareja, homenajes, cumpleaños, mascotas",$12.00,1-3 días,Disponible,Recomendar cuando el cliente quiere un regalo sentimental.
MRP-013,Cuadro personalizado con QR a canción,Cuadros personalizados,Impresión / diseño QR,Marco/base + código QR,"Foto, canción, nombre, frase y QR escaneable","Pareja, aniversarios, amistad, recuerdos especiales",$18.00,1-3 días,Disponible,Producto emotivo; ideal si el cliente quiere dedicar una canción.
MRP-014,Cuadro con luz personalizado,Cuadros personalizados,Impresión / armado,Cuadro con luz,"Foto, frase, nombre, fecha o diseño especial","Pareja, familia, cumpleaños, regalos premium",$25.00,2-4 días,Disponible,Recomendar para presupuesto medio/alto y regalo más especial.
MRP-015,Camisa personalizada con vinil textil,Camisas personalizadas,Vinil textil,Playera lisa,"Nombre, frase, número, logo sencillo o diseño de 1-2 colores","Cumpleaños, eventos, emprendimientos, grupos",$12.00,1-3 días,Disponible,"Ideal para diseños sencillos, nombres, frases o logos básicos."
MRP-016,Camisa personalizada DTF pecho,Camisas personalizadas,DTF / planchado,Playera lisa + impresión DTF,"Logo pequeño, nombre, frase o diseño a color","Marcas, eventos, uniformes, regalos personalizados",$10.00,1-3 días,Disponible,Para diseños pequeños a color en el pecho.
MRP-017,Camisa personalizada DTF espalda,Camisas personalizadas,DTF / planchado,Playera lisa + impresión DTF,"Logo grande, arte, frase o diseño completo","Eventos, grupos, promociones, regalos especiales",$16.00,1-3 días,Disponible,"Para diseños grandes de espalda, aprox. 29x29 cm según talla."
MRP-018,Combo camisa con diseño pecho + espalda,Camisas personalizadas,DTF / vinil textil,Playera lisa + impresión,Logo pecho + diseño espalda,"Equipos, marcas, grupos, promociones, eventos",$24.00,2-4 días,Disponible,Recomendar cuando el cliente quiere camiseta más completa.
MRP-019,Gorra personalizada,Gorras,Vinil textil / sublimación según base,Gorra,"Nombre, iniciales, frase corta o logo sencillo","Cumpleaños, Día del Padre, negocios, grupos",$12.00,1-3 días,Disponible,Ideal para detalles masculinos o de marca.
MRP-020,Stickers en vinil adhesivo,Vinil adhesivo,Vinil adhesivo,Vinil adhesivo,"Nombre, logo, etiqueta, diseño decorativo","Emprendimientos, decoración, etiquetas, detalles",$3.00,1-2 días,Disponible,"Recomendar para negocios, etiquetas o decoración personalizada."
MRP-021,Calcomanía personalizada en vinil,Vinil adhesivo,Vinil adhesivo / corte,Vinil adhesivo,"Texto, nombre, silueta, logo o frase","Autos, laptops, termos, libretas, decoración",$4.00,1-2 días,Disponible,Para clientes que quieren personalizar objetos propios.
MRP-022,Taza personalizada con dulces,Combos personalizados,Sublimación + armado,Taza + dulces,Taza con foto/nombre/frase + dulces,"Cumpleaños, amistad, Día del Padre, sorpresa rápida",$14.00,1-2 días,Disponible,Combo fácil de vender cuando el cliente no sabe qué regalar.
MRP-023,Taza + mousepad personalizado,Combos personalizados,Sublimación,Taza + mousepad,"Diseño combinado, nombre, foto, frase o tema","Oficina, estudio, gamers, trabajo remoto",$20.00,1-3 días,Disponible,Buen combo útil para oficina o estudiantes.
MRP-024,Box dulce personalizado,Combos personalizados,Armado + personalización,Caja + dulces + detalle personalizado,"Nombre, tarjeta, frase, foto o mini detalle","Cumpleaños, amistad, pareja, agradecimiento",$18.00,1-2 días,Disponible,Recomendar si el cliente quiere algo completo y bonito.
MRP-025,Caja minimalista elegante,Combos personalizados,Armado + personalización,Caja decorativa + productos,"Tarjeta, frase, nombre y selección de productos","Pareja, aniversario, agradecimiento, regalos formales",$28.00,2-4 días,Disponible,Para clientes con presupuesto medio/alto que quieren presentación elegante.
MRP-026,Tarjeta impresa en un canva,Sorpresas / decoración,"Nombre, tarjeta, foto, frase o temática","Cumpleaños, aniversario, Día de la Madre/Padre",$25.00,1-3 días,Disponible bajo pedido,Preguntar zona de entrega y fecha antes de confirmar.
MRP-027,Ramo de flores y chocolates,Flores y detalles,Armado personalizado,Flores + chocolates,"Tarjeta, nombre, frase o dedicatoria","Aniversario, cumpleaños, disculpa, agradecimiento",$26.00,1-3 días,Disponible bajo pedido,Recomendar cuando el cliente busca algo romántico o elegante.
MRP-028,Kit gamer snack personalizado,Combos personalizados,Armado + personalización,Snacks + detalle personalizado,"Nombre, tema gamer, tarjeta o sticker personalizado","Cumpleaños, gamers, amigos, jóvenes",$21.00,1-2 días,Disponible,Ideal para alguien joven o fan de videojuegos.
MRP-029,Diseño personalizado para sublimación o vinil,Servicio de diseño,Diseño digital,Archivo digital / preparación,"Diseño desde idea, foto, frase o referencia",Cualquier ocasión,$3.00,Según complejidad,Disponible,Agregar si el cliente necesita ayuda con el diseño antes de producir.
MRP-030,Servicio de planchado / colocación DTF o vinil,Servicio de producción,Planchado térmico,Prenda del cliente o producto base,Aplicación de diseño ya impreso o cortado,"Uniformes, grupos, eventos, pedidos por lote",$3.00,Según cantidad,Disponible,Para clientes que ya tienen impresión o piden varias camisas.
,,,,,,,,,,
"Nota: precios “desde” pueden variar según tamaño, diseño, cantidad, base disponible y urgencia del pedido.",,,,,,,,,,
